ID_Estudante,Nome_Estudante,Genero,Serie,Nome_Escola,Nota_Redacao,Nota_Matematica
0,Kevin Bradley,M,6,Escola A,66,79
1,Paul Smith,M,9,Escola A,94,61
2,John Rodriguez,M,9,Escola A,90,60
3,Oliver Scott,M,9,Escola A,67,58
4,William Ray,F,6,Escola A,97,84
5,James Miranda,M,6,Escola A,94,94
6,Benjamin Carter,F,8,Escola A,82,80
7,Mason Baker,F,9,Escola A,96,69
8,Ethan Roth,M,7,Escola A,95,87
9,Jacob Greene,M,7,Escola A,96,84
10,Logan Alexander,M,7,Escola A,90,70
11,Jackson Cooper,M,7,Escola A,78,77
12,Sebastian Walker,F,6,Escola A,64,79
13,Mateo Long,M,6,Escola A,71,79
14,Jack Hebert,F,7,Escola A,85,67
15,Owen Carson,M,8,Escola A,94,88
16,Theodore Zamora,M,6,Escola A,88,55
17,Aiden Santiago,F,6,Escola A,74,75
18,Wyatt Stevens,M,6,Escola A,64,69
19,Asher Lyons,F,6,Escola A,89,80
20,Carter Davis,F,7,Escola A,91,89
21,Kristen Lopez,F,7,Escola A,90,77
22,Julian Stewart,F,8,Escola A,99,84
23,Christopher Parker,M,6,Escola A,81,68
24,Chelsea Griffith,F,8,Escola A,85,73
25,Cesar Morris,M,6,Escola A,92,70
26,Melanie Decker,F,6,Escola A,63,85
27,Tracey Oconnor,F,7,Escola A,80,58
28,Kelly James,F,8,Escola A,73,55
29,Nicole Brown,F,9,Escola A,90,88
30,Bobby Harris,M,6,Escola A,94,99
31,Brian Fernandez,M,7,Escola A,97,65
32,Candace Phelps,F,8,Escola A,93,90
33,Amy Gonzalez,F,9,Escola A,95,68
34,Steven Green,M,8,Escola A,65,74
35,Benjamin Carlson,M,7,Escola A,99,61
36,Kevin Bailey,M,7,Escola A,76,76
37,Jesse Newton,M,7,Escola A,63,66
38,Kimberly Mercado,F,9,Escola A,73,77
39,Gregory Roberts,M,6,Escola A,80,61
40,Matthew Mayer,M,6,Escola A,79,69
41,Jennifer Parks,F,8,Escola A,85,95
42,John Carlson,M,6,Escola A,65,89
43,Megan Roberts,F,6,Escola A,66,90
44,Debra Flores,F,7,Escola A,75,66
45,Heidi Jackson,F,8,Escola A,64,93
46,Denise Bradford,F,9,Escola A,73,59
47,Ellen Brown,F,8,Escola A,77,81
48,Amy Perkins,F,6,Escola A,76,66
49,Natalie Mitchell,F,7,Escola A,73,93
50,Tiffany Gutierrez,F,7,Escola A,82,95
51,Jennifer Hess,F,8,Escola A,91,56
52,Christine Fletcher,F,9,Escola A,69,78
53,Jon Smith,M,6,Escola A,96,69
54,Tracey Yates,F,6,Escola A,83,68
55,Jerry Gordon,M,9,Escola A,95,71
56,Michael Cox,M,8,Escola A,72,72
57,Madeline Snyder MD,F,6,Escola A,97,56
58,Allison King,F,8,Escola A,74,84
59,Theresa Meyer,F,6,Escola A,88,70
60,Jared Wood,M,6,Escola A,63,89
61,Eric Maynard,M,6,Escola A,64,95
62,Mark Owens,M,8,Escola A,74,65
63,Ronnie Conley,M,8,Escola A,77,61
64,Kimberly Davis,F,9,Escola A,87,57
65,Amy Mitchell,F,8,Escola A,74,60
66,Dylan Taylor MD,M,7,Escola A,77,93
67,Elizabeth Henderson,F,9,Escola A,70,60
68,James Lopez,M,9,Escola A,65,82
69,Michael Morgan,M,8,Escola A,75,89
70,Angela Francis,F,9,Escola A,70,60
71,Breanna Taylor,F,7,Escola A,93,68
72,Jason Johnson,M,9,Escola A,82,65
73,Kyle Martin,M,7,Escola A,72,94
74,Scott Gill,M,7,Escola A,85,85
75,Lisa Long,F,7,Escola A,87,62
76,Erin Liu,F,6,Escola A,78,76
77,Marcus Richards,M,9,Escola A,83,76
78,Jason Thompson,M,9,Escola A,99,57
79,Elizabeth Mckinney,F,6,Escola A,74,81
80,Jessica Bailey,F,7,Escola A,67,70
81,Lisa Frye,F,9,Escola A,94,73
82,Lindsey Baker,F,8,Escola A,81,57
83,Lisa Ramirez,F,9,Escola A,64,76
84,Joseph Butler,M,7,Escola A,77,63
85,Tina Lynch,F,7,Escola A,94,60
86,Leah Benitez,F,7,Escola A,93,84
87,Elizabeth Parker,F,7,Escola A,85,56
88,Melissa Hunter,F,7,Escola A,90,70
89,Miss Madison Everett,F,8,Escola A,70,78
90,Ronald Garcia,M,6,Escola A,99,86
91,Mark Cherry,M,7,Escola A,96,98
92,Ryan Stokes,M,6,Escola A,75,72
93,Isaiah Maldonado,M,7,Escola A,84,91
94,Micheal Dennis,M,9,Escola A,86,61
95,Kevin Martinez,M,8,Escola A,89,58
96,Jessica Smith,F,6,Escola A,77,72
97,Dawn Trujillo,F,8,Escola A,82,87
98,Virginia Ramirez MD,F,7,Escola A,99,89
99,Marc Hernandez,M,7,Escola A,87,63
100,Jose Gonzalez,M,9,Escola A,69,67
101,Jason Dennis,M,7,Escola A,72,57
102,Gary Morris,M,8,Escola A,74,58
103,William Mcdonald,M,9,Escola A,86,74
104,Michael Savage,M,6,Escola A,75,66
105,Alexis Todd,F,8,Escola A,82,95
106,David Hansen,M,7,Escola A,76,86
107,Steven Mendez,M,9,Escola A,68,88
108,Ryan Lynch,M,9,Escola A,77,67
109,Timothy Marks,M,6,Escola A,78,62
110,Alexander Johns,M,7,Escola A,67,77
111,Kenneth Chavez,M,6,Escola A,70,79
112,Dennis Williams,M,7,Escola A,88,67
113,Michael Roy,M,9,Escola A,85,73
114,Richard Ryan,M,9,Escola A,88,86
115,Matthew Reyes,M,9,Escola A,79,60
116,Stephanie Ward,F,8,Escola A,75,69
117,Christopher Tucker,M,7,Escola A,80,90
118,Daniel Jones,M,9,Escola A,66,68
119,Devin Craig,M,7,Escola A,65,80
120,Erin Prince,F,9,Escola A,88,81
121,Bernard Ortiz,M,8,Escola A,78,76
122,Nicole Miller,F,7,Escola A,98,57
123,Christopher Fritz,M,6,Escola A,88,77
124,Bonnie Mckinney,F,8,Escola A,63,65
125,Troy Nelson,M,8,Escola A,79,63
126,Jennifer Lee,F,9,Escola A,93,66
127,Ronald Ward,M,7,Escola A,74,89
128,Nathaniel Hampton,M,8,Escola A,70,81
129,Michael Travis,M,8,Escola A,65,79
130,James Taylor,M,6,Escola A,77,71
131,Thomas Strickland,M,6,Escola A,63,77
132,Brittany Jackson,F,6,Escola A,79,57
133,Marisa Lowe,F,6,Escola A,95,95
134,Nicole Thomas,F,6,Escola A,83,59
135,Matthew Rodriguez,M,9,Escola A,80,79
136,Kent Fernandez,M,9,Escola A,66,58
137,Michelle Martin,F,9,Escola A,86,92
138,John Sparks,M,6,Escola A,74,91
139,Ann Blake,F,8,Escola A,97,75
140,Melissa Miller,F,9,Escola A,76,67
141,Steven Houston,M,6,Escola A,99,71
142,Kristen Anderson,F,8,Escola A,78,76
143,Cory Jones,M,8,Escola A,82,73
144,Jennifer Mora,F,7,Escola A,98,73
145,Dennis Griffin,M,6,Escola A,78,71
146,Darryl Brown,M,7,Escola A,98,90
147,Martin Mosley,M,7,Escola A,90,67
148,Joyce Diaz,F,7,Escola A,85,58
149,Jeffrey Rose,M,9,Escola A,81,91
150,Jamie Moreno,F,6,Escola A,78,99
151,Catherine Williams,F,6,Escola A,66,56
152,Lauren Byrd,F,8,Escola A,66,92
153,Vanessa Frazier,F,7,Escola A,85,82
154,Stephen Bryant,M,8,Escola A,83,77
155,Lawrence Liu,M,9,Escola A,82,73
156,Joseph Larsen,M,6,Escola A,88,82
157,Susan Collier,F,8,Escola A,76,92
158,Meagan Jensen,F,6,Escola A,66,67
159,Julie Harper,F,9,Escola A,88,73
160,Meghan Carroll,F,9,Escola A,75,98
161,Wanda Horton,F,8,Escola A,68,88
162,Mary Campbell,F,7,Escola A,72,56
163,Jennifer Rodgers,F,8,Escola A,83,98
164,Heather Cooper,F,9,Escola A,85,61
165,Ryan Perez,M,8,Escola A,70,87
166,Ryan Cox,M,9,Escola A,95,72
167,Darren Zavala,M,7,Escola A,64,84
168,Joseph Morales III,M,7,Escola A,64,85
169,Aaron West,M,7,Escola A,98,67
170,James Combs,M,7,Escola A,65,82
171,Curtis Garner,M,7,Escola A,79,78
172,Sarah Miller,F,7,Escola A,94,71
173,Samantha Thomas,F,7,Escola A,92,62
174,Robert Atkins,M,6,Escola A,85,97
175,Alexis Crawford,M,7,Escola A,70,82
176,Ryan Maddox,M,8,Escola A,80,80
177,Jonathan Meyer,M,6,Escola A,65,79
178,Donna Wagner,F,7,Escola A,95,61
179,William Kennedy,M,8,Escola A,76,56
180,Kimberly Martinez,F,8,Escola A,84,83
181,Matthew Anderson,M,8,Escola A,92,99
182,Kari Miller,F,6,Escola A,88,55
